"一键探索回答问题","Hỏi đáp thám hiểm nhanh"
"一键探索打开宝箱","Mở Rương thám hiểm nhanh"
"购买探索点","Mua điểm thám hiểm"
"趣味问答","Hỏi đáp"
"随机宝箱","Rương ngẫu nhiên"
"探索商店购买","Mua trong Shop Thám Hiểm"
"获取探索商店数据","Nhận dữ liệu Shop Thám Hiểm"
"探索宝物激活","Kích hoạt thám hiểm bảo vật"
"探索宝物界面关闭","Đóng giao diện thám hiểm bảo vật"
"探索宝物升级","Nâng cấp thám hiểm bảo vật"
"跨服竞技场晋级奖励","Thưởng tấn cấp Đấu Trường Liên Sv"
"跨服竞技场刷新晋级挑战","Làm mới khiêu chiến tấn cấp Đấu Trường Liên Sv"
"跨服竞技场购买挑战次数","Mua lượt khiêu chiến Đấu Trường Liên Sv"
"极限挑战结束战斗","Trận kết thúc khiêu chiến cực hạn"
"跨服竞技场一键挑战","Khiêu chiến nhanh Đấu Trường Liên Sv"
"极限挑战开始战斗","Trận bắt đầu khiêu chiến cực hạn"
"跨服竞技场布阵","Bày trận Đấu Trường Liên Sv"
"跨服竞技场获取对方信息","Nhận thông tin đối thủ Đấu Trường Liên Sv"
"跨服竞技场进入主界面","Vào giao diện chính Đấu Trường Liên Sv"
"跨服竞技场获取录像数据","Nhận dữ liệu video Đấu Trường Liên Sv"
"跨服竞技场积分奖励","Thưởng tích điểm Đấu Trường Liên Sv"
"跨服竞技场获取排行榜","Nhận BXH Đấu Trường Liên Sv"
"跨服竞技场阶段奖励","Thưởng giai đoạn Đấu Trường Liên Sv"
"极限挑战结束战斗","Trận kết thúc khiêu chiến cực hạn"
"极限挑战开始战斗","Trận bắt đầu khiêu chiến cực hạn"
"极限挑战购买buff","Mua buff khiêu chiến cực hạn"
"极限挑战星级奖励","Thưởng cấp sao khiêu chiến cực hạn"
"极限挑战通关奖励","Thưởng vượt ải khiêu chiến cực hạn"

"您希望谁进入这个黑名单？","Ai bạn muốn vào danh sách đen này"
"删除所选","Xóa mục đã chọn"
"刷入服务器","Nhập máy chủ"
"添加黑名单","Thêm một danh sách đen"
"把这个刷进去对你可没什么好处，年轻人！","..."
