"﻿变量名",typeSeqID,weight,group,desc,desc_tw,desc_en,desc_vn,desc_kr,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice4,choice4_tw,choice4_en,choice4_vn,choice4_kr,answer,imgID
66,2,20,206,"In this game, when is the final match of the guild war every week?",本遊戲中，公會戰的決賽時間在每周幾？,"In this game, when is the final match of the guild war every week?",404,404,on Saturday,周六,on Saturday,404,404,Friday,周五,Friday,404,404,Thursday,周四,Thursday,404,404,Sunday,周日,Sunday,404,404,1,
67,2,20,206,"In this game, which one of the following statements about the mystery shop is wrong?",本遊戲中，以下關於神秘商店說法錯誤的是哪一項？,"In this game, which one of the following statements about the mystery shop is wrong?",404,404,The mystery store will always exist,神秘商店會一直存在,The mystery store will always exist,404,404,There is a limit of times triggering per day,每天都有觸發次數的限制,There is a limit of times triggering per day,404,404,Chance to refresh after using a certain amount of energy,消耗一定體力後有幾率刷新出,Chance to refresh after using a certain amount of energy,404,404,Most products have discounted prices,多數商品擁有折扣價格,Most products have discounted prices,404,404,1,
68,2,20,206,"In this game, when player's level reaches how many levels, can use the ultimate skip?",本遊戲中，玩家等級達到多少級時可開啟大招跳過？,"In this game, when player's level reaches how many levels, can use the ultimate skip?",404,404,15,15,15,404,404,1,1,1,404,404,10,10,10,404,404,20,20,20,404,404,1,
69,2,20,206,"In this game, at what level can the player unlock the explorer?",本遊戲中，玩家等級達到多少級時可開啟探險器？,"In this game, at what level can the player unlock the explorer?",404,404,33,33,33,404,404,20,20,20,404,404,25,25,25,404,404,30,30,30,404,404,1,
70,2,20,206,"In this game, when player's level reaches what level can unlock quick upgrade function of skills?",本遊戲中，玩家等級達到多少級時可開啟技能的快速升級功能？,"In this game, when player's level reaches what level can unlock quick upgrade function of skills?",404,404,35,35,35,404,404,10,10,10,404,404,20,20,20,404,404,40,40,40,404,404,1,
71,2,20,206,"In this game, when player's level reaches what level, after consuming energy, can have chance of finding Pokémon that can be captured?",本遊戲中，玩家等級達到多少級時消耗體力後有幾率發現可捕捉的精靈？,"In this game, when player's level reaches what level, after consuming energy, can have chance of finding Pokémon that can be captured?",404,404,36,36,36,404,404,30,30,30,404,404,35,35,35,404,404,40,40,40,404,404,1,
72,2,20,206,"In this game, at what level can the player unlock the achievement system?",本遊戲中，玩家等級達到多少級時可開啟成就系統？,"In this game, at what level can the player unlock the achievement system?",404,404,50,50,50,404,404,45,45,45,404,404,40,40,40,404,404,60,60,60,404,404,1,
73,2,20,206,"In this game, when player's level reaches what levels can unlock fishing feature?",本遊戲中，玩家等級達到多少級時可開啟開釣魚玩法？,"In this game, when player's level reaches what levels can unlock fishing feature?",404,404,65,65,65,404,404,50,50,50,404,404,55,55,55,404,404,60,60,60,404,404,1,
74,2,20,206,"In this game, at what level can the player unlock the rune system?",本遊戲中，玩家等級達到多少級時可開啟符石系統？,"In this game, at what level can the player unlock the rune system?",404,404,66,66,66,404,404,56,56,56,404,404,60,60,60,404,404,70,70,70,404,404,1,
75,2,20,206,"In this game, at what level can the player unlock the rune system?",本遊戲中，玩家等級達到多少級時可開啟符石系統？,"In this game, at what level can the player unlock the rune system?",404,404,68,68,68,404,404,50,50,50,404,404,58,58,58,404,404,60,60,60,404,404,1,
76,2,20,206,"In this game, when player's level reaches what levels can unlock Mega evolution?",本遊戲中，玩家等級達到多少級時可開啟超進化？,"In this game, when player's level reaches what levels can unlock Mega evolution?",404,404,70,70,70,404,404,60,60,60,404,404,65,65,65,404,404,75,75,75,404,404,1,
77,2,50,224,Which of the following Pokémon belong to the Dragon type?,以下哪只精靈屬於龍系？,Which of the following Pokémon belong to the Dragon type?,404,404,Noivern,音波龍,Noivern,404,404,Tropius,熱帶龍,Tropius,404,404,Gyarados,暴鯉龍,Gyarados,404,404,Aerodactyl,化石翼龍,Aerodactyl,404,404,1,
78,2,50,207,Which of the following Pokémon have the largest weight?,以下哪只精靈體重最大？,Which of the following Pokémon have the largest weight?,404,404,Giratina,騎拉帝納,Giratina,404,404,Palkia,帕路奇亞,Palkia,404,404,Dialga,帝牙盧卡,Dialga,404,404,Regigigas,雷吉奇卡斯,Regigigas,404,404,1,
79,2,50,207,Which of the following Pokémon have the largest weight?,以下哪只精靈體重最大？,Which of the following Pokémon have the largest weight?,404,404,Comfey,花療環環,Comfey,404,404,Kartana,紙禦劍,Kartana,404,404,Flabébé,花蓓蓓,Flabébé,404,404,Cosmog,科斯莫古,Cosmog,404,404,1,
80,2,50,207,Which of the following Pokémon have the smallest weight?,以下哪只精靈體重最小？,Which of the following Pokémon have the smallest weight?,404,404,Gastly,鬼斯,Gastly,404,404,Igglybuff,寶寶丁,Igglybuff,404,404,Chimecho,風鈴鈴,Chimecho,404,404,Solosis,單卵細胞球,Solosis,404,404,1,
81,2,50,207,Which of the following Pokémon have the smallest weight?,以下哪只精靈體重最小？,Which of the following Pokémon have the smallest weight?,404,404,Mewtwo,超夢,Mewtwo,404,404,Lugia,洛奇亞,Lugia,404,404,Rayquaza,烈空座,Rayquaza,404,404,Groudon,固拉多,Groudon,404,404,1,
82,2,50,207,Which of the following Pokémon is the tallest?,以下哪只精靈最高？,Which of the following Pokémon is the tallest?,404,404,Wailord,吼鯨王,Wailord,404,404,Steelix,大鋼蛇,Steelix,404,404,Exeggutor Alolan form,椰蛋樹·阿羅拉,Exeggutor Alolan form,404,404,Kyogre,蓋歐卡,Kyogre,404,404,1,
83,2,50,207,Which of the following Pokémon is the tallest?,以下哪只精靈最高？,Which of the following Pokémon is the tallest?,404,404,Altaria,七夕青鳥,Altaria,404,404,Delibird,信使鳥,Delibird,404,404,Psyduck,可達鴨,Psyduck,404,404,Tyrogue,無畏小子,Tyrogue,404,404,1,
84,2,50,207,Which of the following Pokémon is the shortest?,以下哪只精靈最矮？,Which of the following Pokémon is the shortest?,404,404,Azurill,露力麗,Azurill,404,404,Rattata,小拉達,Rattata,404,404,Froakie,呱呱泡蛙,Froakie,404,404,Mew,夢幻,Mew,404,404,1,
85,2,50,207,Which of the following Pokémon is the shortest?,以下哪只精靈最矮？,Which of the following Pokémon is the shortest?,404,404,Serperior,君主蛇,Serperior,404,404,Groudon,固拉多,Groudon,404,404,Ho-Oh,鳳王,Ho-Oh,404,404,Arbok,阿柏怪,Arbok,404,404,1,
86,2,50,207,Which of the following Pokémon cannot fly?,以下哪只精靈無法飛行？,Which of the following Pokémon cannot fly?,404,404,Natu,天然雀,Natu,404,404,Cresselia,克雷色利亞,Cresselia,404,404,Suicune,水君,Suicune,404,404,Landorus,土地雲,Landorus,404,404,1,
87,2,50,208,What will happen if Rattata’s front teeth grow too long?,小拉達的門牙生長太長會引起什麽影響？,What will happen if Rattata’s front teeth grow too long?,404,404,Starved to death because of the inability to eat,無法進食而餓死,Starved to death because of the inability to eat,404,404,"More power when attacking opponent ",攻擊對方是傷害更高,"More power when attacking opponent ",404,404,Faster digging speed,挖掘速度快,Faster digging speed,404,404,Will learn new moves,會學會新的技能,Will learn new moves,404,404,1,
88,2,50,209,Which of the following Pokémon have relatively weak territorial awareness?,以下哪只精靈的領地意識相對比較弱？,Which of the following Pokémon have relatively weak territorial awareness?,404,404,Raticate,拉達,Raticate,404,404,Fearow,大嘴雀,Fearow,404,404,Pidgeotto,比比鳥,Pidgeotto,404,404,Beedrill,大針蜂,Beedrill,404,404,1,
89,2,50,210,"The Pokémon Jirachi is the Pokémon who grant and convey the wishes of people. He wakes up once every thousand years, but only how many days can he wake up?",精靈基拉祈是授予和傳達人類願望的精靈，每一千年蘇醒一次，但只能蘇醒幾天？,"The Pokémon Jirachi is the Pokémon who grant and convey the wishes of people. He wakes up once every thousand years, but only how many days can he wake up?",404,404,7 days,7天,7 days,404,404,3 days,3天,3 days,404,404,5 days,5天,5 days,404,404,10 days,10天,10 days,404,404,1,
90,2,50,211,Which of the following Pokémon swims the fastest?,以下那只精靈的遊泳速度最快？,Which of the following Pokémon swims the fastest?,404,404,Golduck,哥達鴨,Golduck,404,404,Clawitzer,鋼炮臂蝦,Clawitzer,404,404,Dewgong,白海獅,Dewgong,404,404,Goldeen,角金魚,Goldeen,404,404,1,
91,2,50,212,In what state is the Tyrogue's kicking skills as gorgeous as dancing?,無畏小子在什麽狀態下，踢技可以像舞蹈般華麗？,In what state is the Tyrogue's kicking skills as gorgeous as dancing?,404,404,When evolved into Hitmontop,進化為戰舞郎時,When evolved into Hitmontop,404,404,When not evolved,在未進化時,When not evolved,404,404,Evolve to Hitmonlee,進化為飛腿郎時,Evolve to Hitmonlee,404,404,When he evolved into Hitmonchan,進化為快拳郎時,When he evolved into Hitmonchan,404,404,1,
92,2,50,213,What is the reason caused the formation of Vanilluxe?,雙倍多多冰形成的原因？,What is the reason caused the formation of Vanilluxe?,404,404,"Vanilluxe is born when two Vanillish, half-melted by the day's light, stick to each other and freeze together in the cold return of night.",據說是開始融化的２只多多冰貼在一起，再次凍結時誕生而成,"Vanilluxe is born when two Vanillish, half-melted by the day's light, stick to each other and freeze together in the cold return of night.",404,404,Formed by a split and recombination of Vanillish,由一個多多冰分裂重組形成,Formed by a split and recombination of Vanillish,404,404,Because Vanillish is deformed in the blizzard,因為在暴風雪中多多冰發生了變形,Because Vanillish is deformed in the blizzard,404,404,Because the training of the trainer finally formed,因為訓練家的鍛煉最終形成,Because the training of the trainer finally formed,404,404,1,
93,2,50,214,The Frogadier has excellent jumping ability. What is the highest record ever reached in one minute?,呱頭蛙擁有絕佳彈跳能力，曾經一分鐘內登高達到的最高記錄是多少？,The Frogadier has excellent jumping ability. What is the highest record ever reached in one minute?,404,404,600m,600m,600m,404,404,500m,500m,500m,404,404,800m,800m,800m,404,404,1000m,1000m,1000m,404,404,1,
94,2,50,215,How many degrees of cold air can Regice control?,雷吉艾斯可以控制多少度的冷氣？,How many degrees of cold air can Regice control?,404,404,Minus 200°,零下200°,Minus 200°,404,404,Minus 100°,零下100°,Minus 100°,404,404,Minus 300°,零下300°,Minus 300°,404,404,Minus 400°,零下400°,Minus 400°,404,404,1,
95,2,50,216,How many feet does Toxapex have?,超壞星共有多少只腳？,How many feet does Toxapex have?,404,404,Twelve,12只,Twelve,404,404,Ten,10只,Ten,404,404,Eight,8只,Eight,404,404,Six,6只,Six,404,404,1,
96,2,50,217,Magmortar can eject high-heat fireballs. How many degrees Celsius can the temperature of the fireball reach?,鴨嘴炎獸可以噴射出高熱度的火球，火球溫度能達到多少攝氏度？,Magmortar can eject high-heat fireballs. How many degrees Celsius can the temperature of the fireball reach?,404,404,2000 degrees Celsius,2000攝氏度,2000 degrees Celsius,404,404,3000 degrees Celsius,3000攝氏度,3000 degrees Celsius,404,404,5000 degrees Celsius,5000攝氏度,5000 degrees Celsius,404,404,1000 degrees Celsius,1000攝氏度,1000 degrees Celsius,404,404,1,
97,2,50,218,Which of the following Pokémon weren't made by Regigigas?,下面哪個不是由雷吉奇卡斯制作而成的精靈？,Which of the following Pokémon weren't made by Regigigas?,404,404,Raikou,雷公,Raikou,404,404,Regirock,雷吉洛克,Regirock,404,404,Registeel,雷吉斯奇魯,Registeel,404,404,Regice,雷吉艾斯,Regice,404,404,1,
98,2,50,219,"After Alakazam's Mega evolution, how many floating spoons became?",胡地超級進化後，漂浮的勺子變成多少個？,"After Alakazam's Mega evolution, how many floating spoons became?",404,404,Five,5個,Five,404,404,Four,4個,Four,404,404,Six,6個,Six,404,404,3,3個,3,404,404,1,
99,2,50,220,Which Pokémon has a body temperature higher than the surface of the sun?,哪只精靈的體溫比太陽表面溫度還高,Which Pokémon has a body temperature higher than the surface of the sun?,404,404,Magcargo,熔巖蝸牛,Magcargo,404,404,Charmander,小火龍,Charmander,404,404,Solrock,太陽巖,Solrock,404,404,Rapidash,烈焰馬,Rapidash,404,404,1,
100,2,50,221,Which Pokémon lay eggs that will become extremely gentle and kind after being eaten by humans?,哪只精靈所下的蛋被人類吃了以後會變得及其溫柔、善良？,Which Pokémon lay eggs that will become extremely gentle and kind after being eaten by humans?,404,404,Blissey,幸福蛋,Blissey,404,404,Exeggcute,蛋蛋,Exeggcute,404,404,Jigglypuff,胖丁,Jigglypuff,404,404,Exeggutor,椰蛋樹,Exeggutor,404,404,1,
101,2,50,222,How many kinds of Unown are there?,未知圖騰一共有多少種？,How many kinds of Unown are there?,404,404,28 types,28種,28 types,404,404,26 types,26種,26 types,404,404,32 types,32種,32 types,404,404,34 types,34種,34 types,404,404,1,
102,2,50,222,What do the first 26 Unown represent?,未知圖騰前26個是代表著什麽？,What do the first 26 Unown represent?,404,404,English alphabet,英文字母,English alphabet,404,404,Roman numerals,羅馬數字,Roman numerals,404,404,Ruins text,遺跡文字,Ruins text,404,404,Pokémon symbol,精靈符號,Pokémon symbol,404,404,1,
103,2,50,222,The last two Unown represent two symbols. What symbol do they represent?,未知圖騰後2個代表著兩個符號，請問是代表著什麽符號？,The last two Unown represent two symbols. What symbol do they represent?,404,404,"""!"" and ""?""","!和""?""","""!"" and ""?""",404,404,""","" and "".""",",和"".""",""","" and "".""",404,404,"""<"" and "">""","<和"">""","""<"" and "">""",404,404,"""+"" and ""-""","+和""-""","""+"" and ""-""",404,404,1,
104,2,50,225,"Which of the following Pokémon has an image that refers to a Persian cat, an African lion, a mountain lion, and a common shop display item?",以下哪只精靈，它的形象參考了波斯貓、非洲獅、美洲獅和一種常見的店鋪擺設物品？,"Which of the following Pokémon has an image that refers to a Persian cat, an African lion, a mountain lion, and a common shop display item?",404,404,Persian,貓老大,Persian,404,404,Meowth,喵喵,Meowth,404,404,Purugly,東施貓,Purugly,404,404,Purrloin,扒手貓,Purrloin,404,404,1,
105,2,50,226,"In the Hoen area, there is a legendary Pokémon representing the Iron Age. What is it?",在豐緣地區，有一只傳說精靈代表著鐵器時代，它是？,"In the Hoen area, there is a legendary Pokémon representing the Iron Age. What is it?",404,404,Registeel,雷吉斯奇魯,Registeel,404,404,Regice,雷吉艾斯,Regice,404,404,Latias,拉帝亞斯,Latias,404,404,Regirock,雷吉洛克,Regirock,404,404,1,
106,2,50,227,What is the thing in the hands of the Timburr?,搬運小匠手中拿的東西是什麽？,What is the thing in the hands of the Timburr?,404,404,Wood,木頭,Wood,404,404,Steel plate,鋼板,Steel plate,404,404,Cement pipe,水泥管,Cement pipe,404,404,stone,石頭,stone,404,404,1,
107,2,50,228,Which of the following is not included in Rotom's form?,洛托姆的形態不包括以下的哪一種？,Which of the following is not included in Rotom's form?,404,404,Purify Rotom,凈化洛托姆,Purify Rotom,404,404,Wash Rotom,清洗洛托姆,Wash Rotom,404,404,Fan Rotom,旋轉洛托姆,Fan Rotom,404,404,Heat Rotom,加熱洛托姆,Heat Rotom,404,404,1,
108,2,50,229,Which of the following Pokémon will not change their form due to weather or seasons?,以下哪只精靈不會因為天氣或季節改變自身形態的精靈是？,Which of the following Pokémon will not change their form due to weather or seasons?,404,404,Shaymin,謝米,Shaymin,404,404,Castform,漂浮泡泡,Castform,404,404,Cherrim,櫻花兒,Cherrim,404,404,Sawsbuck,萌芽鹿,Sawsbuck,404,404,1,
109,3,50,301,What is Ash’s Pikachu’s favorite food in the animation?,動畫中小智的皮卡丘最愛的食物是什麽,What is Ash’s Pikachu’s favorite food in the animation?,404,404,Tamato,辣茄果,Tamato,404,404,Oran Berry,橙橙果,Oran Berry,404,404,Pecha Berry,桃桃果,Pecha Berry,404,404,Lum Berry,木子果,Lum Berry,404,404,1,
110,3,50,301,What is the name of the female Pokémon that Meowth once liked in the anime?,動畫中火箭隊喵喵曾喜歡的雌性精靈叫什麽？,What is the name of the female Pokémon that Meowth once liked in the anime?,404,404,Meowzie,瑪丹娜,Meowzie,404,404,Meowey,麥當娜,Meowey,404,404,Sheena,希娜,Sheena,404,404,Jessie,武藏,Jessie,404,404,1,
111,3,50,301,"In the animation, which three Pokémon have been summoned by Team Rocket’s boss and planned to use them to rule the Unova area?",動畫中火箭隊老大曾召喚出哪三只精靈，並計劃用它們統治合眾地區？,"In the animation, which three Pokémon have been summoned by Team Rocket’s boss and planned to use them to rule the Unova area?",404,404,"Landorus, Thundurus,Tornadus",土地雲、雷電雲、龍卷雲,"Landorus, Thundurus,Tornadus",404,404,"Moltres, Zapdos, Articuno",火焰鳥，閃電鳥，急凍鳥,"Moltres, Zapdos, Articuno",404,404,"Raikou, Entei, Suicune",雷公，炎帝，水君,"Raikou, Entei, Suicune",404,404,"Regirock, Registeel, Regice",雷吉洛克，雷吉斯奇魯，雷吉艾斯,"Regirock, Registeel, Regice",404,404,1,
112,3,30,302,"In movie [Celebi: Voice of the Forest], which Legendary Pokémon accompanied Ash to rescue Celebi?",劇場版動畫【時拉比 穿梭時空的相遇】中，哪只神獸陪同小智一起救下時拉比？,"In movie [Celebi: Voice of the Forest], which Legendary Pokémon accompanied Ash to rescue Celebi?",404,404,Suicune,水君,Suicune,404,404,Entei,炎帝,Entei,404,404,Raikou,雷公,Raikou,404,404,Lugia,洛奇亞,Lugia,404,404,1,
113,3,30,302,Which of the legendary Pokémon in movie [Pokémon Heroes - Latios and Latias] was defeated and captured?,劇場版動畫【水都的守護神 拉帝亞斯與拉帝歐斯】中哪只傳說精靈戰敗被俘獲？,Which of the legendary Pokémon in movie [Pokémon Heroes - Latios and Latias] was defeated and captured?,404,404,Latios,拉帝歐斯,Latios,404,404,Latias,拉帝亞斯,Latias,404,404,Aerodactyl,化石翼龍,Aerodactyl,404,404,Kabutops,鐮刀盔,Kabutops,404,404,1,
114,3,30,302,"In movie [Lucario and the Mystery of Mew], which of the following Pokémon is protecting the ""tree of beginning""?",劇場版動畫【夢幻與波導的勇者 路卡利歐】中，以下哪只精靈在保護‘世界初始之樹“？,"In movie [Lucario and the Mystery of Mew], which of the following Pokémon is protecting the ""tree of beginning""?",404,404,Regice,雷吉艾斯,Regice,404,404,Lucario,路卡利歐,Lucario,404,404,Mew,夢幻,Mew,404,404,Mewtwo,超夢,Mewtwo,404,404,1,
115,3,30,302,Which Pokémon in movie [Kyurem VS. The Sword of Justice] is the leader of the Swords of Justice?,劇場版動畫【酋雷姆VS聖劍士 凱路迪歐】中哪位精靈是聖劍士的領導者？,Which Pokémon in movie [Kyurem VS. The Sword of Justice] is the leader of the Swords of Justice?,404,404,Cobalion,勾帕路翁,Cobalion,404,404,Terrakion,代拉基翁,Terrakion,404,404,Virizion,畢力吉翁,Virizion,404,404,Keldeo,凱路迪歐,Keldeo,404,404,1,
116,3,30,302,"In movie [Kyurem VS. The Sword of Justice], whose power can Kyurem combine and transformed into another form?",劇場版動畫【酋雷姆VS聖劍士 凱路迪歐】中，酋雷姆可以結合誰的力量轉變成別的形態？,"In movie [Kyurem VS. The Sword of Justice], whose power can Kyurem combine and transformed into another form?",404,404,"Zekrom, Reshiram",捷克羅姆，萊希拉姆,"Zekrom, Reshiram",404,404,"Palkia, Dialga",帕路奇亞，帝牙盧卡,"Palkia, Dialga",404,404,"Groudon, Kyogre",固拉多，蓋歐卡,"Groudon, Kyogre",404,404,"Mew, Mewtwo",夢幻，超夢,"Mew, Mewtwo",404,404,1,
117,3,30,302,Which of the following Mega-evolve Pokémon have not appeared in movie [Volcanion and the Mechanical Marvel]?,劇場版動畫【波爾凱尼恩與機關人偶瑪機雅娜】中，以下哪只超進化形態的精靈沒有出現過？,Which of the following Mega-evolve Pokémon have not appeared in movie [Volcanion and the Mechanical Marvel]?,404,404,Mega Charizard Y,超級噴火龍Y,Mega Charizard Y,404,404,Mega Gengar,超級耿鬼,Mega Gengar,404,404,Mega Lucario,超級路卡利歐,Mega Lucario,404,404,Mega Gardevoir,超級沙奈朵,Mega Gardevoir,404,404,1,
118,3,30,302,"In movie  [Diancie and the Cocoon of Destruction], which of the following Legendary Pokémons has not appeared?",劇場版動畫【破壞之繭與蒂安希】中，以下哪只神獸精靈沒有出現過？,"In movie  [Diancie and the Cocoon of Destruction], which of the following Legendary Pokémons has not appeared?",404,404,Zygarde,基格爾德,Zygarde,404,404,Mewtwo,超夢,Mewtwo,404,404,Xerneas,哲爾尼亞斯,Xerneas,404,404," Yveltal"," 伊裴爾塔爾"," Yveltal",404,404,1,
119,3,30,302,"In movie [Genesect and the Legend Awakened], has there ever been a shiny Genesect?",劇場版動畫【神速的蓋諾賽克特 超夢覺醒】中，是否出現過異色的蓋諾賽克特？,"In movie [Genesect and the Legend Awakened], has there ever been a shiny Genesect?",404,404,"Yes, a shiny",有，一只異色,"Yes, a shiny",404,404,"Yes, five shiny",有，五只異色,"Yes, five shiny",404,404,None,沒有,None,404,404,"Yes, two shiny",有，兩只異色,"Yes, two shiny",404,404,1,
120,3,30,302,The movie [Pokémon The Movie: White—Victini and Zekrom] and [Pokémon The Movie: Black—Victini and Reshiram] are both the 15th movie of the series. Is this statement correct?,劇場版動畫【比克提尼與黑英雄 捷克羅姆】和【比克提尼與白英雄 萊希拉姆】同為系列劇場版的第15部作品，這種說法是否正確？,The movie [Pokémon The Movie: White—Victini and Zekrom] and [Pokémon The Movie: Black—Victini and Reshiram] are both the 15th movie of the series. Is this statement correct?,404,404,"Error, it should be the 14th",錯誤，應該是第14部作品,"Error, it should be the 14th",404,404,"Error, it should be the 16th",錯誤，應該是第16部作品,"Error, it should be the 16th",404,404,Correct,正確,Correct,404,404,Unable to verify,無法考證,Unable to verify,404,404,1,
121,3,50,303,"In this game, how many days after server launch and player’s reaches level 40 to unlock Indigo Conference?",本遊戲中，玩家達到40級且本服開放多少天後可參與石英大會？,"In this game, how many days after server launch and player’s reaches level 40 to unlock Indigo Conference?",404,404,9,9,9,404,404,7,7,7,404,404,8,8,8,404,404,10,10,10,404,404,1,
122,3,50,304,It is said that sees Clefairy at full moon doing what will gets people happiness?,據說看到皮皮滿月時做什麽動作的人會得到幸福？,It is said that sees Clefairy at full moon doing what will gets people happiness?,404,404,Dancing under the full moon,在滿月下跳舞,Dancing under the full moon,404,404,Singing under the full moon,在滿月下唱歌,Singing under the full moon,404,404,Eat fruits and vegetables under the full moon,在滿月下吃蔬果,Eat fruits and vegetables under the full moon,404,404,Circle under the full moon,在滿月下繞圈,Circle under the full moon,404,404,1,
123,3,50,305,"Psyduck usually has a headache, which makes it often forget things. So what might happen to it with intense headache?",可達鴨平時經常頭痛，這使它經常忘記事情。那麽它頭痛激烈可能會發生什麽？,"Psyduck usually has a headache, which makes it often forget things. So what might happen to it with intense headache?",404,404,Will release incredible skill,會釋放出不可思議的絕招,Will release incredible skill,404,404,Will quickly dive into the water,會迅速的潛入水中,Will quickly dive into the water,404,404,Will jump up and fly,會跳起來飛在空中,Will jump up and fly,404,404,Will return to the poké ball,會回到精靈球中,Will return to the poké ball,404,404,1,
124,3,50,306,Which of the following Pokémon is hermaphrodite?,以下哪只精靈雌雄同體的？,Which of the following Pokémon is hermaphrodite?,404,404,Staryu,海星星,Staryu,404,404,Oshawott,水水獺,Oshawott,404,404,Seaking,金魚王,Seaking,404,404,Primarina,西獅海壬,Primarina,404,404,1,
125,3,50,307,It is said that it is the ancestor of crustaceans and tortoises. Which Pokémon is this?,傳說它是甲殼類的祖先，也是烏龜的祖先，這是哪只精靈？,It is said that it is the ancestor of crustaceans and tortoises. Which Pokémon is this?,404,404,Kabuto,化石盔,Kabuto,404,404,Aerodactyl,化石翼龍,Aerodactyl,404,404,Roggenrola,石丸子,Roggenrola,404,404,Omanyte,菊石獸,Omanyte,404,404,1,
126,3,50,308,Cubchoo’s snot is a barometer of health. Which statement is correct?,噴嚏熊的鼻涕是健康的晴雨表，下列說法正確的是,Cubchoo’s snot is a barometer of health. Which statement is correct?,404,404,"The more viscous the snot, the better the body condition",鼻涕粘性越強，身體狀態越好,"The more viscous the snot, the better the body condition",404,404,"Snot is smooth, which means that the body is in good condition",鼻涕順滑，代表身體狀態好,"Snot is smooth, which means that the body is in good condition",404,404,"The weaker snot’s stickness is, the better the physical condition",鼻涕粘性弱，身體狀態越好,"The weaker snot’s stickness is, the better the physical condition",404,404,"The smaller the snot, the better the physical condition",鼻涕越小，代表身體狀態好,"The smaller the snot, the better the physical condition",404,404,1,
127,3,50,309,"Tsareenahe is good at powerful kicking skills, but has a fatal weakness:",甜冷美後擅長強大的踢技，但有一個致命的弱點：,"Tsareenahe is good at powerful kicking skills, but has a fatal weakness:",404,404,"When the crown on the top of the head is touched, the power will disappear",頭頂王冠部位被觸碰，力量便會消失,"When the crown on the top of the head is touched, the power will disappear",404,404,"When the white petals are missing, the power disappears",當白色花瓣缺少時力量消失,"When the white petals are missing, the power disappears",404,404,"When to be ignored by people, power will weaken",被大家冷漠的時候，力量會變弱,"When to be ignored by people, power will weaken",404,404,"When the light time is less, the power will be weaken",光照時間少，力量會變弱,"When the light time is less, the power will be weaken",404,404,1,
128,3,50,310,What is wrong with the following description of gender?,以下關於性別的描述錯誤的是？,What is wrong with the following description of gender?,404,404,"The female butterfly is blue, the male is pink",巴大蝶母的是藍色的，公的是粉色的,"The female butterfly is blue, the male is pink",404,404,Female Pikachu has a heart pattern at the end of her tail,皮卡丘 母的尾巴末端呈愛心圖案,Female Pikachu has a heart pattern at the end of her tail,404,404,Latios is only male,拉帝歐斯只有雄性的,Latios is only male,404,404,"The male body is blue, while the female body is red.",雄性輕飄飄身體是藍色的，雌性輕飄飄身體是紅色的,"The male body is blue, while the female body is red.",404,404,1,
129,3,50,311,Which Pokémon is used as a thermometer because it blooms at a certain temperature?,哪只精靈因為在特定溫度開花而被用做溫度計？,Which Pokémon is used as a thermometer because it blooms at a certain temperature?,404,404,Skiploom,毽子花,Skiploom,404,404,Vileplume,霸王花,Vileplume,404,404,Bellsprout,喇叭芽,Bellsprout,404,404,Bulbasaur,妙蛙種子,Bulbasaur,404,404,1,
130,3,50,312,Which Pokémon's tail can glow that is often used as a signpost for the lost?,哪只精靈尾巴發出的亮光常常作為迷途者的路標？,Which Pokémon's tail can glow that is often used as a signpost for the lost?,404,404,Ampharos,電龍,Ampharos,404,404,Pikachu,皮卡丘,Pikachu,404,404,Chinchou,燈籠魚,Chinchou,404,404,Aipom,長尾怪手,Aipom,404,404,1,
131,1,50,113,"[Common sense] In which year was the electronic computer invented?  ",【常識】電子計算機發明於哪一年？ ,[Common sense] In which year was the electronic computer invented?  ,404,404,In 1946,1946年,In 1946,404,404,1948,1948年,1948,404,404,In 1951,1951年,In 1951,404,404,In 1941,1941年,In 1941,404,404,1,
132,1,50,113,"[Common Sense] In what month do penguins lay eggs?  ",【常識】企鵝一般在幾月份產卵？ ,[Common Sense] In what month do penguins lay eggs?  ,404,404,"May ",5月 ,May ,404,404,April,4月,April,404,404,November,11月,November,404,404,December,12月,December,404,404,1,
133,1,50,113,"[Common Sense] What is the age of the earth?  ",【常識】地球的年齡約有？ ,[Common Sense] What is the age of the earth?  ,404,404,4.6 billion years,46億年,4.6 billion years,404,404,4.8 billion years,48億年,4.8 billion years,404,404,4.1 billion years,41億年,4.1 billion years,404,404,5.6 billion years,56億年,5.6 billion years,404,404,1,
134,1,50,113,"[Common Sense] What is the period of Halley's comet orbiting the sun?  ",【常識】哈雷彗星繞太陽運行的周期約為？ ,[Common Sense] What is the period of Halley's comet orbiting the sun?  ,404,404,76 years,76年,76 years,404,404,72 years,72年,72 years,404,404,74 years,74年,74 years,404,404,78 years,78年,78 years,404,404,1,
,1,50,119,"[Common Sense] Which is the smallest of the seven continents?  ",【常識】七大洲中面積最小的是？ ,[Common Sense] Which is the smallest of the seven continents?  ,404,404,"Antarctica ",南極洲 ,Antarctica ,404,404,Oceania,大洋洲,Oceania,404,404,South America,南美洲,South America,404,404,North America,北美洲,North America,404,404,1,
